"name";"permission";"help"
"reload areatrigger_tavern";"624";"Syntax: .reload areatrigger_tavern
Reload areatrigger_tavern table."
"reload areatrigger_teleport";"625";"Syntax: .reload areatrigger_teleport
Reload areatrigger_teleport table."
"reload autobroadcast";"627";"Syntax: .reload autobroadcast
Reload autobroadcast table."
"reload command";"628";"Syntax: .reload command
Reload command table."
"reload config";"630";"Syntax: .reload config

Reload config settings (by default stored in trinityd.conf). Not all settings can be change at reload: some new setting values will be ignored until restart, some values will applied with delay or only to new objects/maps, some values will explicitly rejected to change at reload."
"reload creature_summon_groups";"638";"Syntax: .reload creature_summon_groups
Reload creature_summon_groups table."
"reload creature_queststarter";"637";"Syntax: .reload creature_queststarter
Reload creature_queststarter table."
"reload creature_questender";"636";"Syntax: .reload creature_questender
Reload creature_questender table."
"reload disenchant_loot_template";"642";"Syntax: .reload disenchant_loot_template
Reload disenchant_loot_template table."
"reload event_scripts";"643";"Syntax: .reload event_scripts
Reload event_scripts table."
"reload fishing_loot_template";"644";"Syntax: .reload fishing_loot_template
Reload fishing_loot_template table."
"reload graveyard_zone";"645";"Syntax: .reload graveyard_zone
Reload graveyard_zone table."
"reload game_tele";"646";"Syntax: .reload game_tele
Reload game_tele table."
"reload gameobject_loot_template";"648";"Syntax: .reload gameobject_loot_template
Reload gameobject_loot_template table."
"reload gameobject_queststarter";"649";"Syntax: .reload gameobject_queststarter
Reload gameobject_queststarter table."
"reload support";"650";"Syntax: .reload support
Reload support system tables."
"reload item_random_bonus_list_template";"653";"Syntax: .reload item_enchantment_template
Reload item_enchantment_template table."
"reload item_loot_template";"654";"Syntax: .reload item_loot_template
Reload item_loot_template table."
"reload creature_template_locale";"658";"Syntax: .reload creature_template_locale
Reload creature_template_locale table."
"reload gameobject_template_locale";"660";"Syntax: .reload gameobject_template_locale
Reload gameobject_template_locale table."
"ticket bug assign";"805";"Usage: .ticket bug assign $ticketid $gmname.
Assigns the specified ticket to the specified Game Master."
"reload quest_greeting";"843";"Syntax: .reload quest_greeting
Reload quest_greeting table."
"reload page_text_locale";"665";"Syntax: .reload page_text_locale
Reload page_text_locale table."
"reload points_of_interest_locale";"666";"Syntax: .reload points_of_interest_locale
Reload points_of_interest_locale table."
"reload quest_locale";"667";"Syntax: .reload quest_locale
Reload all quest_*_locale tables."
"reload milling_loot_template";"670";"Syntax: .reload milling_loot_template
Reload milling_loot_template table."
"reload trainer";"672";"Syntax: .reload trainer
Reloads trainer, trainer_locale and trainer_spell tables."
"reload npc_vendor";"673";"Syntax: .reload npc_vendor
Reload npc_vendor table."
"reload page_text";"674";"Syntax: .reload page_text
Reload page_text table."
"reload pickpocketing_loot_template";"675";"Syntax: .reload pickpocketing_loot_template
Reload pickpocketing_loot_template table."
"reload points_of_interest";"676";"Syntax: .reload points_of_interest
Reload points_of_interest table."
"reload prospecting_loot_template";"677";"Syntax: .reload prospecting_loot_template
Reload prospecting_loot_template table."
"lookup spell id";"457";"Syntax: .lookup spell id #spellid

Looks up a spell by #spellid, and returns the match with its spell name."
"reload mail_loot_template";"669";"Syntax: .reload quest_mail_loot_template
Reload quest_mail_loot_template table."
"reload quest_template";"679";"Syntax: .reload quest_template
Reload quest_template table."
"reload reference_loot_template";"681";"Syntax: .reload reference_loot_template
Reload reference_loot_template table."
"reload reserved_name";"682";"Syntax: .reload reserved_name
Reload reserved_name table."
"reload skill_discovery_template";"685";"Syntax: .reload skill_discovery_template
Reload skill_discovery_template table."
"reload skill_extra_item_template";"686";"Syntax: .reload skill_extra_item_template
Reload skill_extra_item_template table."
"reload skill_fishing_base_level";"687";"Syntax: .reload skill_fishing_base_level
Reload skill_fishing_base_level table."
"reload skinning_loot_template";"688";"Syntax: .reload skinning_loot_template
Reload skinning_loot_template table."
"reload spell_area";"691";"Syntax: .reload spell_area
Reload spell_area table."
"ticket bug close";"806";"Usage: .ticket bug close $ticketid.
Closes the specified ticket. Does not delete permanently."
"reload disables";"641";"Syntax: .reload disables
Reload disables table."
"reload spell_group_stack_rules";"703";"Syntax: .reload spell_group
Reload spell_group_stack_rules table."
"reload spell_learn_spell";"694";"Syntax: .reload spell_learn_spell
Reload spell_learn_spell table."
"reload spell_linked_spell";"696";"Usage: .reload spell_linked_spell
Reloads the spell_linked_spell DB table."
"reload spell_loot_template";"695";"Syntax: .reload spell_loot_template
Reload spell_loot_template table."
"reload spell_pet_auras";"697";"Syntax: .reload spell_pet_auras
Reload spell_pet_auras table."
"character changeaccount";"698";"Syntax: .character changeaccount [$player] $account

Transfers ownership of named (or selected) character to another account"
"reload spell_required";"690";"Syntax: .reload spell_required
Reload spell_required table."
"reload spell_scripts";"700";"Syntax: .reload spell_scripts
Reload spell_scripts table."
"reload spell_target_position";"701";"Syntax: .reload spell_target_position
Reload spell_target_position table."
"reload spell_threats";"702";"Syntax: .reload spell_threats
Reload spell_threats table."
"reload trinity_string";"704";"Syntax: .reload trinity_string
Reload trinity_string table."
"reload waypoint_scripts";"706";"Syntax: .reload waypoint_scripts
Reload waypoint_scripts table."
"reload";"607";"Syntax: .reload $subcommand
Type .reload to see the list of possible subcommands or .help reload $subcommand to see info on subcommands"
"repairitems";"521";"Syntax: .repairitems

Repair all selected player's items."
"reset achievements";"711";"Syntax: .reset achievements [$playername]

Reset achievements data for selected or named (online or offline) character. Achievements for persistance progress data like completed quests/etc re-filled at reset. Achievements for events like kills/casts/etc will lost."
"reset all";"717";"Syntax: .reset all spells

Syntax: .reset all talents

Request reset spells or talents (including talents for all character's pets if any) at next login each existed character."
"reset honor";"712";"Syntax: .reset honor [Playername]
  Reset all honor data for targeted character."
"reset level";"713";"Syntax: .reset level [Playername]
  Reset level to 1 including reset stats and talents.  Equipped items with greater level requirement can be lost."
"reset spells";"714";"Syntax: .reset spells [Playername]
  Removes all non-original spells from spellbook.
. Playername can be name of offline character."
"reset stats";"715";"Syntax: .reset stats [Playername]
  Resets(recalculate) all stats of the targeted player to their original VALUESat current level."
"reset talents";"716";"Syntax: .reset talents [Playername]
  Removes all talents of the targeted player or pet or named player. Playername can be name of offline character. With player talents also will be reset talents for all character's pets if any."
"reset";"710";"Syntax: .reset $subcommand
Type .reset to see the list of possible subcommands or .help reset $subcommand to see info on subcommands"
"respawn";"522";"Syntax: .respawn

Respawn all nearest creatures and GO without waiting respawn time expiration."
"revive";"523";"Syntax: .revive

Revive the selected player. If no player is selected, it will revive you."
"save";"525";"Syntax: .save

Saves your character."
"saveall";"524";"Syntax: .saveall

Save all characters in game."
"send items";"484";"Syntax: .send items #playername ""#subject"" ""#text"" itemid1[:count1] itemid2[:count2] ... itemidN[:countN]

Send a mail to a player. Subject and mail text must be in """". If for itemid not provided related count values then expected 1, if count > max items in stack then items will be send in required amount stacks. All stacks amount in mail limited to 12."
"send mail";"485";"Syntax: .send mail #playername ""#subject"" ""#text""

Send a mail to a player. Subject and mail text must be in """"."
"send message";"486";"Syntax: .send message $playername $message

Send screen message to player from ADMINISTRATOR."
"send money";"487";"Syntax: .send money #playername ""#subject"" ""#text"" #money

Send mail with money to a player. Subject and mail text must be in """"."
"server corpses";"719";"Syntax: .server corpses

Triggering corpses expire check in world."
"server exit";"720";"Syntax: .server exit

Terminate trinity-core NOW. Exit code 0."
"server idlerestart cancel";"722";"Syntax: .server idlerestart cancel

Cancel the restart/shutdown timer if any."
"server idlerestart";"721";"Syntax: .server idlerestart #delay [#exit_code] [reason]

Restart the server after #delay seconds if no active connections are present (no players). Use #exit_code or 2 as program exit code."
"server idleshutdown cancel";"724";"Syntax: .server idleshutdown cancel

Cancel the restart/shutdown timer if any."
"server idleshutdown";"723";"Syntax: .server idleshutdown #delay [#exit_code] [reason]

Shut the server down after #delay seconds if no active connections are present (no players). Use #exit_code or 0 as program exist code."
"server info";"725";"Syntax: .server info

Display server version and the number of connected players."
"server motd";"736";"Syntax: .server motd

Show server Message of the day."
"server plimit";"726";"Syntax: .server plimit [#num|-1|-2|-3|reset|player|moderator|gamemaster|administrator]

Without arg show current player amount and security level limitations for login to server, with arg set player linit ($num > 0) or securiti limitation ($num < 0 or security leme name. With `reset` sets player limit to the one in the config file"
"server restart cancel";"728";"Syntax: .server restart cancel

Cancel the restart/shutdown timer if any."
"server restart";"727";"Syntax: .server restart [force] #delay [#exit_code] [reason]

Restart the server after #delay seconds. Use #exit_code or 2 as program exit code. Specify 'force' to allow short-term shutdown despite other players being connected."
"server set closed";"730";"Syntax: server set closed on/off

Sets whether the world accepts new client connectsions."
"server set motd";"733";"Syntax: .server set motd $MOTD

Set server Message of the day."
"server shutdown cancel";"735";"Syntax: .server shutdown cancel

Cancel the restart/shutdown timer if any."
"server shutdown";"734";"Syntax: .server shutdown [force] #delay [#exit_code] [reason]

Shut the server down after #delay seconds. Use #exit_code or 0 as program exit code. Specify 'force' to allow short-term shutdown despite other players being connected."
"server";"718";"Syntax: .server $subcommand
Type .server to see the list of possible subcommands or .help server $subcommand to see info on subcommands"
"setskill";"526";"Syntax: .setskill #skill #level [#max]

Set a skill of id #skill with a current skill value of #level and a maximum value of #max (or equal current maximum if not provide) for the selected character. If no character is selected, you learn the skill."
"showarea";"527";"Syntax: .showarea #areaid

Reveal the area of #areaid to the selected character. If no character is selected, reveal this area to you."
"unstuck";"534";"Syntax: .unstuck $playername [inn/graveyard/startzone]

Teleports specified player to specified location. Default location is player's current hearth location."
"cheat god";"295";"Syntax: .cheat god [on/off]
Enables or disables your character's ability to take damage."
"cheat casttime";"292";"Syntax: .cheat casttime [on/off]
Enables or disables your character's spell cast times."
"tele add";"738";"Syntax: .tele add $name

Add current your position to .tele command target locations list with name $name."
"tele del";"739";"Syntax: .tele del $name

Remove location with name $name for .tele command locations list."
"tele group";"741";"Syntax: .tele group#location

Teleport a selected player and his group members to a given location."
"tele name";"740";"Syntax: .tele name [#playername] #location

Teleport the given character to a given location. Character can be offline.

To teleport to homebind, set #location to ""$home"" (without quotes)."
"tele";"737";"Syntax: .tele #location

Teleport player to a given location."
"ticket";"742";"Syntax: .ticket $subcommand
Type .ticket to see the list of possible subcommands or .help ticket $subcommand to see info on subcommands"
"unaura";"529";"Syntax: .unaura #spellid

Remove aura due to spell #spellid from the selected Unit."
"unban account";"253";"Syntax: .unban account $Name
Unban accounts for account name pattern."
"unban character";"254";"Syntax: .unban character $Name
Unban accounts for character name pattern."
"unban ip";"255";"Syntax : .unban ip $Ip
Unban accounts for IP pattern."
"unban";"252";"Syntax: .unban $subcommand
Type .unban to see the list of possible subcommands or .help unban $subcommand to see info on subcommands"
"unbindsight";"530";"Syntax: .unbindsight

Removes bound vision. Cannot be used while currently possessing a target."
"unfreeze";"531";"Syntax: .unfreeze (#player)
""Unfreezes"" #player and enables his chat again. When using this without #name it will unfreeze your target."
"unlearn";"429";"Syntax: .unlearn #spell [all]

Unlearn for selected player a spell #spell.  If 'all' provided then all ranks unlearned."
"unmute";"532";"Syntax: .unmute [$playerName]

Restore chat messaging for any character from account of character $playerName (or selected). Character can be ofline."
"unpossess";"533";"Syntax: .unpossess

If you are possessed, unpossesses yourself; otherwise unpossesses current possessed target."
"cheat";"291";"Syntax: .cheat $subcommand
Type .cheat to see the list of possible subcommands or .help cheat $subcommand to see info on subcommands"
"wchange";"535";"Syntax: .wchange #weathertype #status

Set current weather to #weathertype with an intensity of #status.

#weathertype can be 1 for rain, 2 for snow, and 3 for sand. #status can be 0 for disabled, and 1 for enabled."
"whispers";"471";"Syntax: .whispers on|off
Enable/disable accepting whispers by GM from players. By default use trinityd.conf setting."
"wp event";"769";"Syntax: .wp event $subcommand
Type .path event to see the list of possible subcommands or .help path event $subcommand to see info on subcommands."
"wp load";"770";"Syntax: .wp load $pathid
Load pathid number for selected creature. Creature must have no waypoint data."
"wp show";"774";"Syntax: .wp show $option
Options:
on $pathid (or selected creature with loaded path) - Show path
first $pathid (or selected creature with loaded path) - Show first waypoint in path
last $pathid (or selected creature with loaded path) - Show last waypoint in path
off - Hide all paths
info $selected_waypoint - Show info for selected waypoint."
"wp unload";"772";"Syntax: .wp unload
Unload path for selected creature."
"account addon";"218";"Syntax: .account addon #addon

Set expansion addon level allowed. Addon values: 0 - normal, 1 - tbc, 2 - wotlk, 3 - cata, 4 - mop, 5 - wod, 6 - legion."
"titles remove";"764";"Syntax: .titles remove #title
Remove title #title (id or shift-link) from known titles list for selected player."
"titles current";"763";"Syntax: .titles current #title
Set title #title (id or shift-link) as current selected title for selected player. If title is not in known title list for player then it will be added to list."
"titles add";"762";"Syntax: .titles add #title
Add title #title (id or shift-link) to known titles list for selected player."
"titles set mask";"766";"Syntax: .titles set mask #mask

Allows user to use all titles from #mask.

 #mask=0 disables the title-choose-field"
"lookup title";"460";"Syntax: .lookup title $$namepart

Looks up a title by $namepart, and returns all matches with their title ID's and index's."
"channel set ownership";"465";"Syntax: .channel set ownership $channel [on/off]

Grant ownership to the first person that joins the channel."
"gobject info";"392";"Syntax: .gobject info [$entry|$link | guid [$guid|$link]
 
 Query Gameobject information for given gameobject entry, guid or link.
For example .gobject info 36
or .gobject info guid 100"
"reload creature_onkill_reputation";"635";"Syntax: .reload creature_onkill_reputation
Reload creature_onkill_reputation table."
"character deleted delete";"278";"Syntax: .character deleted delete #guid|$name

Completely deletes the selected characters.
If $name is supplied, only characters with that string in their name will be deleted, if #guid is supplied, only the character with that GUID will be deleted."
"reload creature_loot_template";"634";"Syntax: .reload creature_loot_template
Reload creature_loot_template table."
"reload conditions";"629";"Reload conditions table."
"character deleted list";"279";"Syntax: .character deleted list [#guid|$name]

Shows a list with all deleted characters.
If $name is supplied, only characters with that string in their name will be selected, if #guid is supplied, only the character with that GUID will be selected."
"character deleted old";"281";"Syntax: .character deleted old [#keepDays]

Completely deletes all characters with deleted time longer #keepDays. If #keepDays not provided the  used value from mangosd.conf option 'CharDelete.KeepDays'. If referenced config option disabled (use 0 value) then command can't be used without #keepDays."
"character deleted restore";"280";"Syntax: .character deleted restore #guid|$name [$newname] [#new account]

Restores deleted characters.
If $name is supplied, only characters with that string in their name will be restored, if $guid is supplied, only the character with that GUID will be restored.
If $newname is set, the character will be restored with that name instead of the original one. If #newaccount is set, the character will be restored to specific account character list. This works only with one character!"
"reload gossip_menu";"651";"Syntax: .reload gossip_menu
Reload gossip_menu table."
"reload gossip_menu_option";"652";"Syntax: .reload gossip_menu_option
Reload gossip_menu_option table."
"cast dest";"272";"Syntax: .cast dest #spellid #x #y #z [triggered]
  Selected target will cast #spellid at provided destination. If 'trigered' or part provided then spell casted with triggered flag."
"reload all scripts";"621";"Syntax: .reload all scripts
Reload gameobject_scripts, event_scripts, quest_end_scripts, quest_start_scripts, spell_scripts, db_script_string, waypoint_scripts tables."
"reload gossip_menu_option_locale";"661";"Syntax: .reload gossip_menu_option_locale
Reload gossip_menu_option_locale table."
"reload quest_poi";"678";"Syntax: .reload quest_poi
Reload quest_poi table."
"reload lfg_dungeon_rewards";"656";"Syntax: .reload lfg_dungeon_rewards
Reload lfg_dungeon_rewards table."
"character changefaction";"275";"Syntax: .character changefaction $name

Change character faction."
"character changerace";"276";"Syntax: .character changerace $name

Change character race."
"ban playeraccount";"243";"Syntax: .ban playeraccount $Name $bantime $reason
Ban account and kick player.
$bantime: negative value leads to permban, otherwise use a timestring like ""4d20h3s""."
"achievement add";"231";"Syntax: .achievement add $achievement
Add an achievement to the targeted player.
$achievement: can be either achievement id or achievement link"
"achievement";"230";"Syntax: .achievement $subcommand
Type .achievement to see the list of possible subcommands or .help achievement $subcommand to see info on subcommands"
"mailbox";"777";"Syntax: .mailbox

Show your mailbox content."
"debug areatriggers";"302";"Syntax: .debug areatriggers
Toggle debug mode for areatriggers. In debug mode GM will be notified if reaching an areatrigger"
"learn all recipes";"428";"Syntax: .learn all recipes [$profession]

Learns all recipes of specified profession and sets skill level to max.
Example: .learn all recipes enchanting"
"npc set spawndist";"590";"Syntax: .npc set spawndist #dist

Adjust spawndistance of selected creature to dist."
"npc set spawntime";"591";"Syntax: .npc set spawntime #time 

Adjust spawntime of selected creature to time."
"npc add";"571";"Syntax: .npc add #entry
  Spawn a creature using template #entry and save it to the database.
  If you want a temporary spawn that is not saved to the database, use .npc add temp instead."
"npc textemote";"598";"Syntax: .npc textemote #emoteid

Make the selected creature to do textemote with an emote of id #emoteid."
"npc whisper";"599";"Syntax: .npc whisper #playerguid #text
Make the selected npc whisper #text to  #playerguid."
"npc yell";"600";"Syntax: .npc yell $message
Make selected creature yell specified message."
"wp add";"768";"Syntax: .wp add

Add a waypoint for the selected creature at your current position."
"reload all spell";"622";"Syntax: .reload all spell

Reload all `spell_*` tables with reload support added and that can be _safe_ reloaded."
"server set loglevel";"732";"Syntax: .server set loglevel $facility $name $loglevel. $facility can take the values: appender (a) or logger (l). $loglevel can take the values: disabled (0), trace (1), debug (2), info (3), warn (4), error (5) or fatal (6)"
"reload access_requirement";"608";"Syntax: .reload access_requirement
Reload access_requirement table."
"reload criteria_data";"609";"Syntax: .reload criteria_data
Reload criteria_data table."
"reload achievement_reward";"610";"Syntax: .reload achievement_reward
Reload achievement_reward table."
"reload all achievement";"612";"Syntax: .reload all achievement

Reload achievement_reward, achievement_criteria_data tables."
"reload all area";"613";"Syntax: .reload all area

Reload areatrigger_teleport, areatrigger_tavern, graveyard_zone tables."
"reload auctions";"626";"Syntax: .reload auctions
Reload dynamic data tables from the database."
"reload mail_level_reward";"668";"Syntax: .reload mail_level_reward
Reload mail_level_reward table."
"reload smart_scripts";"689";"Syntax: .reload smart_scripts
Reload smart_scripts table."
"reload vehicle_accessory";"708";"Syntax: .reload vehicle_accessory

Reloads GUID-based vehicle accessory definitions from the database."
"reload vehicle_template_accessory";"709";"Syntax: .reload vehicle_template_accessory

Reloads entry-based vehicle accessory definitions from the database."
"dev";"499";"Syntax: .dev [on/off]

Enable or Disable in game Dev tag or show current state if on/off not provided."
"ticket reset";"753";"Syntax: .ticket reset
Removes all closed tickets and resets the counter, if no pending open tickets are existing."
"reload waypoint_data";"707";"Syntax: .reload waypoint_data will reload waypoint_data table."
"group";"472";"Syntax: .group $subcommand
Type .group to see the list of possible subcommands or .help group $subcommand to see info on subcommands"
"group leader";"473";"Syntax: .group leader [$characterName]

Sets the given character as his group's leader."
"group disband";"474";"Syntax: .group disband [$characterName]

Disbands the given character's group."
"group remove";"475";"Syntax: .group remove [$characterName]

Removes the given character from his group."
"debug moveflags";"314";"Syntax: .debug moveflags [$newMoveFlags [$newMoveFlags2]]
No params given will output the current moveflags of the target"
"reload creature_text_locale";"659";"Syntax: .reload creature_text_locale
Reload creature_text_locale Table."
"morph";"542";"Syntax: .morph #displayid

Change your current model id to #displayid."
"modify currency";"775";"Syntax: .modify currency #id #value
Add $amount (without precision) of $currency to the selected player."
"npc set data";"592";"Syntax: .npc set data $field $data
Sets data for the selected creature. Used for testing Scripting"
"disable add quest";"355";"Syntax: .disable add quest $entry $flag $comment"
"disable add map";"352";"Syntax: .disable add map $entry $flag $comment"
"disable add battleground";"351";"Syntax: .disable add battleground $entry $flag $comment"
"disable add criteria";"350";"Syntax: .disable add criteria $entry $flag $comment"
"disable add spell";"356";"Syntax: .disable add spell $entry $flag $comment"
"disable add outdoorpvp";"354";"Syntax: .disable add outdoorpvp $entry $flag $comment"
"disable add vmap";"357";"Syntax: .disable add vmap $entry $flag $comment"
"disable remove quest";"364";"Syntax: .disable remove quest $entry"
"disable remove map";"361";"Syntax: .disable remove map $entry"
"disable remove battleground";"360";"Syntax: .disable remove battleground $entry"
"disable remove criteria";"359";"Syntax: .disable remove criteria $entry"
"disable remove spell";"365";"Syntax: .disable remove spell $entry"
"disable remove outdoorpvp";"363";"Syntax: .disable remove outdoorpvp $entry"
"disable remove vmap";"366";"Syntax: .disable remove vmap $entry"
"bf start";"258";"Syntax: .bf start #battleid"
"bf stop";"259";"Syntax: .bf stop #battleid"
"bf enable";"262";"Syntax: .bf enable #battleid"
"bf switch";"260";"Syntax: .bf switch #battleid"
"bf timer";"261";"Syntax: .bf timer #battleid #timer"
"quest reward";"606";"Syntax: .quest reward #questId

Grants quest reward to selected player and removes quest from his log (quest must be in completed state)."
"cheat waterwalk";"299";"Syntax: .cheat waterwalk on/off
Set on/off waterwalk state for selected player or self if no player selected."
"cheat explore";"294";"Syntax: .cheat explore #flag
Reveal or hide all maps for the selected player. If no player is selected, hide or reveal maps to you.
Use a #flag of value 1 to reveal, use a #flag value of 0 to hide all maps."
"cheat taxi";"298";"Syntax: .cheat taxi on/off
Temporary grant access or remove to all taxi routes for the selected character.
 If no character is selected, hide or reveal all routes to you.Visited taxi nodes sill accessible after removing access."
"cheat status";"297";"Syntax: .cheat status 

Shows the cheats you currently have enabled."
"debug phase";"776";"Syntax: .debug phase

Sends a phase debug report of a player to you."
"lfg player";"431";"Syntax: .lfg player
 Shows information about player (state, roles, comment, dungeons selected)."
"lfg group";"432";"Syntax: .lfg group
 Shows information about all players in the group  (state, roles, comment, dungeons selected)."
"lfg queue";"433";"Syntax: .lfg queue
 Shows info about current lfg queues."
"lfg clean";"434";"Syntax: .flg clean
 Cleans current queue, only for debugging purposes."
"lfg options";"435";"Syntax: .lfg options [new value]
 Shows current lfg options. New value is set if extra param is present."
"mmap";"536";"Syntax: Syntax: .mmaps $subcommand Type .mmaps to see the list of possible subcommands or .help mmaps $subcommand to see info on subcommands"
"mmap path";"539";"Syntax: .mmap path to calculate and show a path to current select unit"
"mmap loc";"538";"Syntax: .mmap loc to print on which tile one is"
"mmap loadedtiles";"537";"Syntax: .mmap loadedtiles to show which tiles are currently loaded"
"mmap stats";"540";"Syntax: .mmap stats to show information about current state of mmaps"
"mmap testarea";"541";"Syntax: .mmap testarea to calculate paths for all nearby npcs to player"
"disable add mmap";"353";"Syntax: .disable add mmap $entry $flag $comment"
"disable remove mmap";"362";"Syntax: .disable remove mmap $entry"
"group join";"476";"Syntax: .group join $AnyCharacterNameFromGroup [$CharacterName] 
Adds to group of player $AnyCharacterNameFromGroup player $CharacterName (or selected)."
"group list";"477";"Syntax: .group list [$CharacterName] 
Lists all the members of the group/party the player is in."
"bnetaccount set password";"213";"Syntax: .bnetaccount set password $account $password $password
Set password for account."
"bnetaccount set";"212";"Syntax: .bnetaccount set $subcommand
Type .bnetaccount set to see the list of possible subcommands or .help bnetaccount set $subcommand to see info on subcommands."
"bnetaccount password";"211";"Syntax: .bnetaccount password $old_password $new_password $new_password
Change your account password."
"bnetaccount lock ip";"210";"Syntax: .bnetaccount lock ip [on|off]
Allow login to account only from current used IP or remove this requirement."
"bnetaccount lock country";"209";"Syntax: .bnetaccount lock country [on|off]
Allow login to account only from current used Country or remove this requirement."
"bnetaccount create";"208";"Syntax: .bnetaccount create $account $password
Create battle.net account and set password to it. Account must contain the @ symbol."
"reload creature_template";"639";"Syntax: .reload creature_template $entry
Reload the specified creature's template."
"reload creature_text";"640";"Syntax: .reload creature_text
Reload creature_text Table."
"debug transport";"400";"Syntax: .debug transport [start/stop]

 Allows to stop a transport at its nearest wait point and start movement of a stopped one. Not all transports can be started or stopped."
"rbac list";"206";"Syntax: rbac list [$id]

View list of all permissions. If $id is given will show only info for that permission."
"rbac account revoke";"205";"Syntax: rbac account revoke [$account] #id

Remove a permission from an account

Note: Removes the permission from granted or denied permissions"
"rbac account deny";"204";"Syntax: rbac account deny [$account] #id [#realmId]

Deny a permission to selected player or given account.

#reamID may be -1 for all realms."
"rbac account grant";"203";"Syntax: rbac account grant [$account] #id [#realmId]

Grant a permission to selected player or given account.

#reamID may be -1 for all realms."
"rbac account list";"202";"Syntax: rbac account list [$account]

View permissions of selected player or given account
Note: Only those that affect current realm"
"reload creature_linked_respawn";"633";"Syntax: .reload creature_linked_respawn
Reload creature_linked_respawn table."
"reload rbac";"680";"Syntax: .reload rbac
Reload rbac system."
"deserter instance add";"346";"Syntax: .deserter instance add $time 

 Adds the instance deserter debuff to your target with $time duration."
"deserter instance remove";"347";"Syntax: .deserter instance remove 

 Removes the instance deserter debuff from your target."
"deserter bg add";"343";"Syntax: .deserter bg add $time 

 Adds the bg deserter debuff to your target with $time duration."
"deserter bg remove";"344";"Syntax: .deserter bg remove 

 Removes the bg deserter debuff from your target."
"list mail";"441";"Syntax: .list mail $character
List of mails the character received."
"account lock country";"222";"Syntax: .account lock country [on|off]
Allow login from account only from current used Country or remove this requirement."
"guild rename";"407";"Syntax: .guild rename ""$GuildName"" ""$NewGuildName"" 

 Rename a guild named $GuildName with $NewGuildName. Guild name and new guild name must in quotes."
"arena create";"234";"Syntax: .arena create $name ""arena name"" #type

A command to create a new Arena-team in game. #type  = [2/3/5]"
"arena disband";"235";"Syntax: .arena disband #TeamID

A command to disband Arena-team in game."
"arena rename";"238";"Syntax: .arena rename ""oldname"" ""newname""

A command to rename Arena-team name."
"arena captain";"233";"Syntax: .arena captain #TeamID $name

A command to set new captain to the team $name must be in the team"
"arena info";"236";"Syntax: .arena info #TeamID

A command that show info about arena team"
"arena lookup";"237";"Syntax: .arena lookup $name

A command that give a list of arenateam with the given $name"
"reload gameobject_questender";"647";"Syntax: .reload gameobject_questender\nReload gameobject_questender table."
"account set sec regmail";"266";"Syntax: .account set sec regmail $account $regmail $regmailconfirmation

Sets the regmail for entered player account."
"account set sec email";"265";"Syntax: .account set sec email $accountname $email $emailconfirmation

Set the email for entered player account."
"account email";"263";"Syntax: .account email $oldemail $currentpassword $newemail $newemailconfirmation

 Change your account email. You may need to check the actual security mode to see if email input is necessary for password change"
"bnetaccount";"207";"Syntax: .bnetaccount $subcommand
Type .bnetaccount to see the list of possible subcommands or .help account set $subcommand to see info on subcommands."
"reload battleground_template";"631";"Syntax: .reload battleground_template
Reload Battleground Templates."
"reload reputation_reward_rate";"683";"Syntax: .reload reputation_reward_rate
Reload reputation_reward_rate table."
"reload reputation_spillover_template";"684";"Syntax: .reload reputation_spillover_template
Reload reputation_spillover_template table."
"reload warden_action";"705";"Syntax: .reload warden_action
Reload warden_action."
"ahbot items";"779";"Syntax: .ahbot items $GrayItems $WhiteItems $GreenItems $BlueItems $PurpleItems $OrangeItems $YellowItems

Set amount of each items color be selled on auction."
"ahbot items gray";"780";"Syntax: .ahbot items gray $GrayItems

Set amount of Gray color items be selled on auction."
"ahbot items white";"781";"Syntax: .ahbot items white $WhiteItems

Set amount of White color items be selled on auction."
"ahbot items green";"782";"Syntax: .ahbot items green $GreenItems

Set amount of Green color items be selled on auction."
"ahbot items blue";"783";"Syntax: .ahbot items blue $BlueItems

Set amount of Blue color items be selled on auction."
"ahbot items purple";"784";"Syntax: .ahbot items purple $PurpleItems

Set amount of Purple color items be selled on auction."
"ahbot items orange";"785";"Syntax: .ahbot items orange $OrangeItems

Set amount of Orange color items be selled on auction."
"ahbot items yellow";"786";"Syntax: .ahbot items yellow $YellowItems

Set amount of Yellow color items be selled on auction."
"ahbot ratio";"787";"Syntax: .ahbot ratio $allianceratio $horderatio $neutralratio

Set ratio of items in 3 auctions house."
"ahbot ratio alliance";"788";"Syntax: .ahbot ratio alliance $allianceratio

Set ratio of items in alliance auction house."
"ahbot ratio horde";"789";"Syntax: .ahbot ratio horde $horderatio

Set ratio of items in horde auction house."
"ahbot ratio neutral";"790";"Syntax: .ahbot ratio neutral $neutralratio

Set ratio of items in $neutral auction house."
"ahbot rebuild";"791";"Syntax: .ahbot rebuild [all]

Expire all actual auction of ahbot except bided by player. Binded auctions included to expire if ""all"" option used. Ahbot re-fill auctions base at current settings then."
"ahbot reload";"792";"Syntax: .ahbot reload

Reload AHBot settings from configuration file."
"ahbot status";"793";"Syntax: .ahbot status [all]

Show current ahbot state data in short form, and with ""all"" with details."
"guild info";"794";"Shows information about target's guild or a given guild identifier or name."
